Date	Sunrise	Sunset	Day Length	Difference	Noon	Distance
2-Nov-20	6:19 am	4:35 pm	10:16:11	-2:29	11:27 am	92.217
3-Nov-20	6:20 am	4:34 pm	10:13:42	-2:28	11:27 am	92.194
4-Nov-20	6:21 am	4:33 pm	10:11:15	-2:27	11:27 am	92.171
5-Nov-20	6:23 am	4:31 pm	10:08:49	-2:25	11:27 am	92.148
6-Nov-20	6:24 am	4:30 pm	10:06:25	-2:24	11:27 am	92.126
7-Nov-20	6:25 am	4:29 pm	10:04:03	-2:22	11:27 am	92.104
8-Nov-20	6:26 am	4:28 pm	10:01:42	-2:20	11:27 am	92.082
9-Nov-20	6:28 am	4:27 pm	9:59:23	-2:19	11:28 am	92.060
10-Nov-20	6:29 am	4:26 pm	9:57:05	-2:17	11:28 am	92.039
11-Nov-20	6:30 am	4:25 pm	9:54:50	-2:15	11:28 am	92.018
12-Nov-20	6:31 am	4:24 pm	9:52:36	-2:13	11:28 am	91.997
13-Nov-20	6:33 am	4:23 pm	9:50:24	-2:11	11:28 am	91.976
14-Nov-20	6:34 am	4:22 pm	9:48:15	-2:09	11:28 am	91.956
15-Nov-20	6:35 am	4:21 pm	9:46:07	-2:07	11:28 am	91.935
16-Nov-20	6:36 am	4:20 pm	9:44:02	-2:04	11:29 am	91.915
17-Nov-20	6:38 am	4:20 pm	9:42:00	-2:02	11:29 am	91.895
18-Nov-20	6:39 am	4:19 pm	9:39:59	-2:00	11:29 am	91.875
19-Nov-20	6:40 am	4:18 pm	9:38:01	-1:57	11:29 am	91.855
20-Nov-20	6:41 am	4:17 pm	9:36:06	-1:55	11:29 am	91.835
21-Nov-20	6:42 am	4:17 pm	9:34:14	-1:52	11:30 am	91.816
22-Nov-20	6:44 am	4:16 pm	9:32:24	-1:49	11:30 am	91.797
23-Nov-20	6:45 am	4:15 pm	9:30:37	-1:47	11:30 am	91.779
24-Nov-20	6:46 am	4:15 pm	9:28:52	-1:44	11:31 am	91.761
25-Nov-20	6:47 am	4:14 pm	9:27:11	-1:41	11:31 am	91.743
26-Nov-20	6:48 am	4:14 pm	9:25:33	-1:38	11:31 am	91.726
27-Nov-20	6:49 am	4:13 pm	9:23:58	-1:34	11:32 am	91.709
28-Nov-20	6:51 am	4:13 pm	9:22:27	-1:31	11:32 am	91.693
29-Nov-20	6:52 am	4:13 pm	9:20:58	-1:28	11:32 am	91.677
30-Nov-20	6:53 am	4:12 pm	9:19:33	-1:25	11:33 am	91.662
1-Dec-20	6:54 am	4:12 pm	9:18:11	-1:21	11:33 am	91.647
2-Dec-20	6:55 am	4:12 pm	9:16:53	-1:18	11:33 am	91.633
3-Dec-20	6:56 am	4:11 pm	9:15:39	-1:14	11:34 am	91.619
4-Dec-20	6:57 am	4:11 pm	9:14:28	-1:10	11:34 am	91.606
5-Dec-20	6:58 am	4:11 pm	9:13:21	-1:07	11:35 am	91.593
6-Dec-20	6:59 am	4:11 pm	9:12:17	-1:03	11:35 am	91.581
7-Dec-20	7:00 am	4:11 pm	9:11:18	-0:59	11:35 am	91.569
8-Dec-20	7:01 am	4:11 pm	9:10:22	-0:55	11:36 am	91.557
9-Dec-20	7:01 am	4:11 pm	9:09:30	-0:51	11:36 am	91.546
10-Dec-20	7:02 am	4:11 pm	9:08:43	-0:47	11:37 am	91.536
11-Dec-20	7:03 am	4:11 pm	9:07:59	-0:43	11:37 am	91.525
12-Dec-20	7:04 am	4:11 pm	9:07:20	-0:39	11:38 am	91.515
13-Dec-20	7:05 am	4:12 pm	9:06:45	-0:35	11:38 am	91.506
14-Dec-20	7:06 am	4:12 pm	9:06:13	-0:31	11:39 am	91.496
15-Dec-20	7:06 am	4:12 pm	9:05:47	-0:26	11:39 am	91.487
16-Dec-20	7:07 am	4:12 pm	9:05:24	-0:22	11:40 am	91.479
17-Dec-20	7:08 am	4:13 pm	9:05:06	-0:18	11:40 am	91.470
18-Dec-20	7:08 am	4:13 pm	9:04:52	-0:13	11:41 am	91.462
## Tweaked the sunset time here to get proper diff for the solstice
19-Dec-20	7:09 am	4:14 pm	9:04:42	-0:09	11:41 am	91.454
20-Dec-20	7:09 am	4:14 pm	9:04:37	-0:05	11:42 am	91.447
21-Dec-20	7:10 am	4:14 pm	9:04:36	0:00	11:42 am	91.440
22-Dec-20	7:10 am	4:15 pm	9:04:39	+0:03	11:43 am	91.434
23-Dec-20	7:11 am	4:16 pm	9:04:47	+0:07	11:43 am	91.428
24-Dec-20	7:11 am	4:16 pm	9:04:59	+0:12	11:44 am	91.423
25-Dec-20	7:12 am	4:17 pm	9:05:15	+0:16	11:44 am	91.418
26-Dec-20	7:12 am	4:17 pm	9:05:36	+0:20	11:45 am	91.413
27-Dec-20	7:12 am	4:18 pm	9:06:01	+0:25	11:45 am	91.410
28-Dec-20	7:12 am	4:19 pm	9:06:31	+0:29	11:46 am	91.406
29-Dec-20	7:13 am	4:20 pm	9:07:04	+0:33	11:46 am	91.404
30-Dec-20	7:13 am	4:20 pm	9:07:42	+0:37	11:47 am	91.402
31-Dec-20	7:13 am	4:21 pm	9:08:24	+0:41	11:47 am	91.400
1-Jan-21	7:13 am	4:22 pm	9:09:10	+0:46	11:47 am	91.400
2-Jan-21	7:13 am	4:23 pm	9:10:00	+0:50	11:48 am	91.399
3-Jan-21	7:13 am	4:24 pm	9:10:54	+0:54	11:48 am	91.400
4-Jan-21	7:13 am	4:25 pm	9:11:52	+0:58	11:49 am	91.401
5-Jan-21	7:13 am	4:26 pm	9:12:54	+1:02	11:49 am	91.402
6-Jan-21	7:13 am	4:27 pm	9:14:00	+1:05	11:50 am	91.404
7-Jan-21	7:13 am	4:28 pm	9:15:10	+1:09	11:50 am	91.406
8-Jan-21	7:13 am	4:29 pm	9:16:24	+1:13	11:51 am	91.409
9-Jan-21	7:12 am	4:30 pm	9:17:41	+1:17	11:51 am	91.413
10-Jan-21	7:12 am	4:31 pm	9:19:02	+1:20	11:51 am	91.416
11-Jan-21	7:12 am	4:32 pm	9:20:26	+1:24	11:52 am	91.420
12-Jan-21	7:11 am	4:33 pm	9:21:54	+1:27	11:52 am	91.424
13-Jan-21	7:11 am	4:34 pm	9:23:25	+1:31	11:53 am	91.429
14-Jan-21	7:11 am	4:36 pm	9:24:59	+1:34	11:53 am	91.434
15-Jan-21	7:10 am	4:37 pm	9:26:37	+1:37	11:53 am	91.439
16-Jan-21	7:10 am	4:38 pm	9:28:18	+1:40	11:54 am	91.445
17-Jan-21	7:09 am	4:39 pm	9:30:02	+1:43	11:54 am	91.451
18-Jan-21	7:09 am	4:40 pm	9:31:49	+1:46	11:54 am	91.458
19-Jan-21	7:08 am	4:42 pm	9:33:38	+1:49	11:55 am	91.464
20-Jan-21	7:07 am	4:43 pm	9:35:31	+1:52	11:55 am	91.472
21-Jan-21	7:07 am	4:44 pm	9:37:26	+1:55	11:55 am	91.479
22-Jan-21	7:06 am	4:45 pm	9:39:24	+1:57	11:55 am	91.488
23-Jan-21	7:05 am	4:47 pm	9:41:25	+2:00	11:56 am	91.496
24-Jan-21	7:04 am	4:48 pm	9:43:28	+2:03	11:56 am	91.505
25-Jan-21	7:04 am	4:49 pm	9:45:34	+2:05	11:56 am	91.515
26-Jan-21	7:03 am	4:50 pm	9:47:41	+2:07	11:56 am	91.525
27-Jan-21	7:02 am	4:52 pm	9:49:51	+2:10	11:57 am	91.536
28-Jan-21	7:01 am	4:53 pm	9:52:04	+2:12	11:57 am	91.548
29-Jan-21	7:00 am	4:54 pm	9:54:18	+2:14	11:57 am	91.559
30-Jan-21	6:59 am	4:56 pm	9:56:34	+2:16	11:57 am	91.572
31-Jan-21	6:58 am	4:57 pm	9:58:53	+2:18	11:57 am	91.585