Senator	VoteConst
Baldwin	Yea
Barrasso	Nay
Bennet	Yea
Blackburn	Nay
Blumenthal	Yea
Blunt	Nay
Booker	Yea
Boozman	Nay
Braun	Nay
Brown	Yea
Burr	Nay
Cantwell	Yea
Capito	Nay
Cardin	Yea
Carper	Yea
Casey	Yea
Cassidy	Yea
Collins	Yea
Coons	Yea
Cornyn	Nay
Cortez Masto	Yea
Cotton	Nay
Cramer	Nay
Crapo	Nay
Cruz	Nay
Daines	Nay
Duckworth	Yea
Durbin	Yea
Ernst	Nay
Feinstein	Yea
Fischer	Nay
Gillibrand	Yea
Graham	Nay
Grassley	Nay
Hagerty	Nay
Hassan	Yea
Hawley	Nay
Heinrich	Yea
Hickenlooper	Yea
Hirono	Yea
Hoeven	Nay
Hyde-Smith	Nay
Inhofe	Nay
Johnson	Nay
Kaine	Yea
Kelly	Yea
Kennedy	Nay
King	Yea
Klobuchar	Yea
Lankford	Nay
Leahy	Yea
Lee	Nay
Lujan	Yea
Lummis	Nay
Manchin	Yea
Markey	Yea
Marshall	Nay
McConnell	Nay
Menendez	Yea
Merkley	Yea
Moran	Nay
Murkowski	Yea
Murphy	Yea
Murray	Yea
Ossoff	Yea
Padilla	Yea
Paul	Nay
Peters	Yea
Portman	Nay
Reed	Yea
Risch	Nay
Romney	Yea
Rosen	Yea
Rounds	Nay
Rubio	Nay
Sanders	Yea
Sasse	Yea
Schatz	Yea
Schumer	Yea
ScottFL	Nay
ScottSC	Nay
Shaheen	Yea
Shelby	Nay
Sinema	Yea
Smith	Yea
Stabenow	Yea
Sullivan	Nay
Tester	Yea
Thune	Nay
Tillis	Nay
Toomey	Yea
Tuberville	Nay
Van Hollen	Yea
Warner	Yea
Warnock	Yea
Warren	Yea
Whitehouse	Yea
Wicker	Nay
Wyden	Yea
Young	Nay