State	BidenPct	TrumpPct
Alabama	36.57	62.03
Alaska	42.77	52.83
Arizona	49.36	49.06
Arkansas	34.78	62.40
California	63.48	34.32
Colorado	55.40	41.90
Connecticut	59.26	39.19
Delaware	58.74	39.77
Florida	47.86	51.22
Georgia	49.47	49.24
Hawaii	63.73	34.27
Idaho	33.07	63.84
Illinois	57.54	40.55
Indiana	40.96	57.02
Iowa	44.89	53.09
Kansas	41.56	56.21
Kentucky	36.15	62.09
Louisiana	39.85	58.46
Maine	53.09	44.02
Maryland	65.36	32.15
Massachusetts	65.60	32.14
Michigan	50.62	47.84
Minnesota	52.40	45.28
Mississippi	41.06	57.60
Missouri	41.41	56.80
Montana	40.55	56.92
Nebraska	39.17	58.22
Nevada	50.06	47.67
New Hampshire	52.71	45.36
New Jersey	57.33	41.40
New Mexico	54.29	43.50
New York	60.86	37.75
North Carolina	48.59	49.93
North Dakota	31.76	65.11
Ohio	45.24	53.27
Oklahoma	32.29	65.37
Oregon	56.45	40.37
Pennsylvania	50.01	48.84
Rhode Island	59.39	38.61
South Carolina	43.43	55.11
South Dakota	35.61	61.77
Tennessee	37.45	60.66
Texas	46.48	52.06
Utah	37.65	58.13
Vermont	66.09	30.67
Virginia	54.11	44.00
Washington	57.97	38.77
West Virginia	29.69	68.62
Wisconsin	49.45	48.82
Wyoming	26.55	69.94