Date	Sunrise	Sunset	Day.Length	Difference	Noon	Distance
7-Nov-20	6:25 am	4:30 pm	10:04:32	-2:23	11:28 am	92.115
8-Nov-20	6:26 am	4:29 pm	10:02:10	-2:21	11:28 am	92.092
9-Nov-20	6:28 am	4:27 pm	9:59:51	-2:19	11:28 am	92.069
10-Nov-20	6:29 am	4:26 pm	9:57:33	-2:17	11:28 am	92.046
11-Nov-20	6:30 am	4:25 pm	9:55:17	-2:16	11:28 am	92.024
12-Nov-20	6:31 am	4:24 pm	9:53:02	-2:14	11:28 am	92.002
13-Nov-20	6:33 am	4:23 pm	9:50:50	-2:12	11:28 am	91.980
14-Nov-20	6:34 am	4:23 pm	9:48:40	-2:10	11:28 am	91.959
15-Nov-20	6:35 am	4:22 pm	9:46:32	-2:07	11:29 am	91.938
16-Nov-20	6:36 am	4:21 pm	9:44:27	-2:05	11:29 am	91.917
17-Nov-20	6:38 am	4:20 pm	9:42:23	-2:03	11:29 am	91.897
18-Nov-20	6:39 am	4:19 pm	9:40:23	-2:00	11:29 am	91.878
19-Nov-20	6:40 am	4:18 pm	9:38:24	-1:58	11:29 am	91.858
20-Nov-20	6:41 am	4:18 pm	9:36:28	-1:55	11:30 am	91.839
21-Nov-20	6:42 am	4:17 pm	9:34:35	-1:53	11:30 am	91.821
22-Nov-20	6:44 am	4:16 pm	9:32:44	-1:50	11:30 am	91.803
23-Nov-20	6:45 am	4:16 pm	9:30:57	-1:47	11:30 am	91.785
24-Nov-20	6:46 am	4:15 pm	9:29:12	-1:44	11:31 am	91.768
25-Nov-20	6:47 am	4:15 pm	9:27:30	-1:41	11:31 am	91.752
26-Nov-20	6:48 am	4:14 pm	9:25:51	-1:38	11:31 am	91.735
27-Nov-20	6:49 am	4:14 pm	9:24:15	-1:35	11:32 am	91.719
28-Nov-20	6:50 am	4:13 pm	9:22:42	-1:32	11:32 am	91.704
29-Nov-20	6:52 am	4:13 pm	9:21:13	-1:29	11:32 am	91.689
30-Nov-20	6:53 am	4:12 pm	9:19:47	-1:26	11:33 am	91.674
1-Dec-20	6:54 am	4:12 pm	9:18:24	-1:22	11:33 am	91.659
2-Dec-20	6:55 am	4:12 pm	9:17:05	-1:19	11:33 am	91.645
3-Dec-20	6:56 am	4:12 pm	9:15:50	-1:15	11:34 am	91.631
4-Dec-20	6:57 am	4:11 pm	9:14:38	-1:11	11:34 am	91.617
5-Dec-20	6:58 am	4:11 pm	9:13:30	-1:08	11:35 am	91.604
6-Dec-20	6:59 am	4:11 pm	9:12:25	-1:04	11:35 am	91.590
7-Dec-20	7:00 am	4:11 pm	9:11:25	-1:00	11:36 am	91.577
8-Dec-20	7:01 am	4:11 pm	9:10:28	-0:56	11:36 am	91.565
9-Dec-20	7:02 am	4:11 pm	9:09:35	-0:52	11:36 am	91.552
10-Dec-20	7:02 am	4:11 pm	9:08:47	-0:48	11:37 am	91.540
11-Dec-20	7:03 am	4:11 pm	9:08:02	-0:44	11:37 am	91.529
12-Dec-20	7:04 am	4:11 pm	9:07:22	-0:40	11:38 am	91.518
13-Dec-20	7:05 am	4:12 pm	9:06:45	-0:36	11:38 am	91.507
14-Dec-20	7:06 am	4:12 pm	9:06:13	-0:32	11:39 am	91.497
15-Dec-20	7:06 am	4:12 pm	9:05:45	-0:27	11:39 am	91.488
16-Dec-20	7:07 am	4:12 pm	9:05:22	-0:23	11:40 am	91.479
17-Dec-20	7:08 am	4:13 pm	9:05:02	-0:19	11:40 am	91.470
18-Dec-20	7:08 am	4:13 pm	9:04:47	-0:15	11:41 am	91.463
19-Dec-20	7:09 am	4:13 pm	9:04:37	-0:10	11:41 am	91.455
20-Dec-20	7:09 am	4:14 pm	9:04:30	-0:06	11:42 am	91.448
21-Dec-20	7:10 am	4:14 pm	9:04:28	-0:02	11:42 am	91.442
22-Dec-20	7:10 am	4:15 pm	9:04:31	+0:02	11:43 am	91.437
23-Dec-20	7:11 am	4:15 pm	9:04:37	+0:06	11:43 am	91.432
24-Dec-20	7:11 am	4:16 pm	9:04:48	+0:11	11:44 am	91.427
25-Dec-20	7:12 am	4:17 pm	9:05:04	+0:15	11:44 am	91.423
26-Dec-20	7:12 am	4:17 pm	9:05:24	+0:19	11:45 am	91.420
27-Dec-20	7:12 am	4:18 pm	9:05:48	+0:23	11:45 am	91.417
28-Dec-20	7:13 am	4:19 pm	9:06:16	+0:28	11:46 am	91.414
29-Dec-20	7:13 am	4:20 pm	9:06:48	+0:32	11:46 am	91.412
30-Dec-20	7:13 am	4:20 pm	9:07:25	+0:36	11:47 am	91.410
31-Dec-20	7:13 am	4:21 pm	9:08:06	+0:40	11:47 am	91.409
1-Jan-21	7:13 am	4:22 pm	9:08:51	+0:45	11:48 am	91.408
2-Jan-21	7:13 am	4:23 pm	9:09:40	+0:49	11:48 am	91.407
3-Jan-21	7:13 am	4:24 pm	9:10:33	+0:53	11:48 am	91.407
4-Jan-21	7:13 am	4:25 pm	9:11:31	+0:57	11:49 am	91.407
5-Jan-21	7:13 am	4:26 pm	9:12:32	+1:01	11:49 am	91.407
6-Jan-21	7:13 am	4:27 pm	9:13:37	+1:05	11:50 am	91.408
7-Jan-21	7:13 am	4:28 pm	9:14:46	+1:08	11:50 am	91.409
8-Jan-21	7:13 am	4:29 pm	9:15:58	+1:12	11:51 am	91.410
9-Jan-21	7:13 am	4:30 pm	9:17:15	+1:16	11:51 am	91.412
10-Jan-21	7:12 am	4:31 pm	9:18:35	+1:19	11:51 am	91.415
11-Jan-21	7:12 am	4:32 pm	9:19:58	+1:23	11:52 am	91.418
12-Jan-21	7:12 am	4:33 pm	9:21:25	+1:26	11:52 am	91.421
13-Jan-21	7:11 am	4:34 pm	9:22:56	+1:30	11:53 am	91.425
14-Jan-21	7:11 am	4:35 pm	9:24:29	+1:33	11:53 am	91.430
15-Jan-21	7:10 am	4:37 pm	9:26:06	+1:36	11:53 am	91.435
16-Jan-21	7:10 am	4:38 pm	9:27:46	+1:40	11:54 am	91.440
17-Jan-21	7:09 am	4:39 pm	9:29:29	+1:43	11:54 am	91.446
18-Jan-21	7:09 am	4:40 pm	9:31:16	+1:46	11:54 am	91.453
19-Jan-21	7:08 am	4:41 pm	9:33:05	+1:49	11:55 am	91.461
20-Jan-21	7:08 am	4:43 pm	9:34:57	+1:51	11:55 am	91.469
21-Jan-21	7:07 am	4:44 pm	9:36:51	+1:54	11:55 am	91.477
22-Jan-21	7:06 am	4:45 pm	9:38:49	+1:57	11:56 am	91.486
23-Jan-21	7:06 am	4:46 pm	9:40:49	+2:00	11:56 am	91.496
24-Jan-21	7:05 am	4:48 pm	9:42:51	+2:02	11:56 am	91.506
25-Jan-21	7:04 am	4:49 pm	9:44:56	+2:04	11:56 am	91.516
26-Jan-21	7:03 am	4:50 pm	9:47:04	+2:07	11:56 am	91.527
27-Jan-21	7:02 am	4:52 pm	9:49:13	+2:09	11:57 am	91.538
28-Jan-21	7:01 am	4:53 pm	9:51:25	+2:11	11:57 am	91.550
29-Jan-21	7:00 am	4:54 pm	9:53:39	+2:14	11:57 am	91.562
30-Jan-21	6:59 am	4:55 pm	9:55:55	+2:16	11:57 am	91.574
31-Jan-21	6:58 am	4:57 pm	9:58:13	+2:18	11:57 am	91.587