Election Year	D Candidate	D birth year	D age 	D EC Votes	R Candidate	R birth year	R age	R EC Votes	D EC Diff	Age Diff
2024	Harris	1964	60	NA	Trump	1946	78	NA	NA	-18
2020	Biden	1942	78	306	Trump	1946	74	232	74	4
2016	Clinton HR	1947	69	227	Trump	1946	70	304	-77	-1
2012	Obama	1961	51	332	Romney	1947	65	206	126	-14
2008	Obama	1961	47	365	McCain	1936	72	173	192	-25
2004	Kerry	1943	61	251	Bush GW	1946	58	286	-35	3
2000	Gore	1948	52	266	Bush GW	1946	54	271	-5	-2
1996	Clinton WJ	1946	50	379	Dole	1923	73	159	220	-23
1992	Clinton WJ	1946	46	370	Bush GHW	1924	68	168	202	-22
1988	Dukakis	1933	55	111	Bush GHW	1924	64	426	-315	-9
1984	Mondale	1928	56	49	Reagan	1911	73	525	-476	-17
1980	Carter	1924	56	240	Reagan	1911	69	489	-249	-13
1976	Carter	1924	52	297	Ford	1913	63	240	57	-11
1972	McGovern	1922	50	17	Nixon	1913	59	520	-503	-9
1968	Humphrey	1911	57	191	Nixon	1913	55	301	-110	2