State	Popln 2020	% US (2020)	House Seats	House Seats %	Popln/EC Vote	Popln/Seat	% EC (2020)	WR House Seats	WR House Seats %	Popln/ECWRVote	Popln/WR Seat	% WR EC	House Seats Change
California	39538223	0.12	52	0.12	732189	760350	0.10	69	0.12	560826	577200	0.10	17
Texas	29145505	0.09	38	0.09	728638	766987	0.07	51	0.09	555152	577139	0.08	13
Florida	21538187	0.07	28	0.06	717940	769221	0.06	37	0.07	548045	577431	0.06	9
New York	20201249	0.06	26	0.06	721473	776971	0.05	35	0.06	545980	577179	0.05	9
Pennsylvania	13002700	0.04	17	0.04	684353	764865	0.04	23	0.04	530722	577898	0.04	6
Illinois	12812508	0.04	17	0.04	674343	753677	0.04	22	0.04	529442	577140	0.04	5
Ohio	11799448	0.04	15	0.03	694085	786630	0.03	21	0.04	524420	575583	0.03	6
Georgia	10711908	0.03	14	0.03	669494	765136	0.03	19	0.03	519996	575909	0.03	5
North Carolina	10439388	0.03	14	0.03	652462	745671	0.03	18	0.03	519373	576762	0.03	4
Michigan	10077331	0.03	13	0.03	671822	775179	0.03	18	0.03	516786	575847	0.03	5
New Jersey	9288994	0.03	12	0.03	663500	774083	0.03	16	0.03	513204	576956	0.03	4
Virginia	8631393	0.03	11	0.03	663953	784672	0.02	15	0.03	507729	575426	0.03	4
Washington	7705281	0.02	10	0.02	642107	770528	0.02	13	0.02	500343	575021	0.02	3
Arizona	7151502	0.02	9	0.02	650137	794611	0.02	12	0.02	496632	576734	0.02	3
Tennessee	6910840	0.02	9	0.02	628258	767871	0.02	12	0.02	493631	575903	0.02	3
Massachusetts	7029917	0.02	9	0.02	639083	781102	0.02	12	0.02	495065	576223	0.02	3
Indiana	6785528	0.02	9	0.02	616866	753948	0.02	12	0.02	491705	575045	0.02	3
Missouri	6154913	0.02	8	0.02	615491	769364	0.02	11	0.02	484639	575226	0.02	3
Maryland	6177224	0.02	8	0.02	617722	772153	0.02	11	0.02	486396	577311	0.02	3
Wisconsin	5893718	0.02	8	0.02	589372	736715	0.02	10	0.02	483092	577815	0.02	2
Colorado	5773714	0.02	8	0.02	577371	721714	0.02	10	0.02	481143	577371	0.02	2
Minnesota	5706494	0.02	8	0.02	570649	713312	0.02	10	0.02	479537	576414	0.02	2
South Carolina	5118425	0.02	7	0.02	568714	731204	0.02	9	0.02	469580	575104	0.02	2
Alabama	5024279	0.02	7	0.02	558253	717754	0.02	9	0.02	469559	577503	0.02	2
Louisiana	4657757	0.01	6	0.01	582220	776293	0.01	8	0.01	461164	575032	0.01	2
Kentucky	4505836	0.01	6	0.01	563230	750973	0.01	8	0.01	459779	577671	0.01	2
Oregon	4237256	0.01	6	0.01	529657	706209	0.01	7	0.01	455619	580446	0.01	1
Oklahoma	3959353	0.01	5	0.01	565622	791871	0.01	7	0.01	444871	573819	0.01	2
Connecticut	3605944	0.01	5	0.01	515135	721189	0.01	6	0.01	434451	572372	0.01	1
Utah	3271616	0.01	4	0.01	545269	817904	0.01	6	0.01	424885	573968	0.01	2
Iowa	3190369	0.01	4	0.01	531728	797592	0.01	6	0.01	425383	580067	0.01	2
Nevada	3104614	0.01	4	0.01	517436	776154	0.01	5	0.01	419542	574929	0.01	1
Arkansas	3011524	0.01	4	0.01	501921	752881	0.01	5	0.01	418267	579139	0.01	1
Kansas	2937880	0.01	4	0.01	489647	734470	0.01	5	0.01	413786	576055	0.01	1
Mississippi	2961279	0.01	4	0.01	493547	740320	0.01	5	0.01	417082	580643	0.01	1
New Mexico	2117522	0.01	3	0.01	423504	705841	0.01	4	0.01	371495	572303	0.01	1
Nebraska	1961504	0.01	3	0.01	392301	653835	0.01	3	0.01	363241	576913	0.01	0
Idaho	1839106	0.01	2	0.00	459777	919553	0.01	3	0.01	353674	574721	0.01	1
West Virginia	1793716	0.01	2	0.00	448429	896858	0.01	3	0.01	351709	578618	0.01	1
Hawaii	1455271	0.00	2	0.00	363818	727636	0.01	3	0.00	323394	582108	0.01	1
New Hampshire	1377529	0.00	2	0.00	344382	688765	0.01	2	0.00	313075	573970	0.01	0
Maine	1362359	0.00	2	0.00	340590	681180	0.01	2	0.00	309627	567650	0.01	0
Montana	1084225	0.00	2	0.00	271056	542113	0.01	2	0.00	278006	570645	0.01	-0
Rhode Island	1097379	0.00	2	0.00	274345	548690	0.01	2	0.00	281379	577568	0.01	-0
Delaware	989948	0.00	1	0.00	329983	989948	0.01	2	0.00	267554	582322	0.01	1
South Dakota	886667	0.00	1	0.00	295556	886667	0.01	2	0.00	253333	591111	0.01	1
North Dakota	779094	0.00	1	0.00	259698	779094	0.01	1	0.00	229145	556496	0.01	0
Alaska	733391	0.00	1	0.00	244464	733391	0.01	1	0.00	222240	564147	0.00	0
Vermont	643077	0.00	1	0.00	214359	643077	0.01	1	0.00	207444	584615	0.00	0
Wyoming	576851	0.00	1	0.00	192284	576851	0.01	1	0.00	192284	576851	0.00	0
Totals	330759736		435	1.00			1.00	574	1.00			1.00	139